X_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,DESCRIPTION,IMAGE_NAME,IMAGE_ALT_TEXT,geometry
32,32,2020,Wandering Spirit School Parent Council,Gitigaan,School Learning Garden,2,55,69,None,Wandering Spirit School,16 Phin Avenue,M4J 3T2,Y,Toronto-Danforth,14,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.33663606, 43.67914024]]}"
33,33,2020,Windermere United Church and Friends' Pollinator Project,Windermere United Church and Friends' Pollinator Project,Spiritual Centre Garden,4,18.6,87,None,Windermere United Church,356 Windermere Avenue,M6S 3L3,None,Parkdale-High Park,4,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.48042415, 43.64880572]]}"
34,34,2021,757 Gardening Committee,Bee Kind Pollinator Rockery Garden,Multi-Residential Garden,1,84,121,NIA,Metropolitan Toronto Condo,757 Victoria Park Avenue,M1L 4P2,None,Scarborough Southwest,20,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2882894, 43.69241898]]}"
35,35,2021,75th Old Mill Scouts,75th Old Mill Toronto Pollinator Garden,Spiritual Centre Garden,1,48,89,None,St. Paul's Anglican Church,404 Willard Avenue,M6S 3R5,None,Parkdale-High Park,4,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4839622, 43.65545888]]}"
36,36,2021,Agincourt Community Services Association (ACSA),Chester Le Pollinator Pad,City Park,1,55,147,EN,Chester Le Park,255 Chester Le Boulevard,M1W 2N4,None,Scarborough-Agincourt,22,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.33226028, 43.79968137]]}"
37,37,2021,CALC Secondary School,CALC Secondary Pollinator Garden,School Learning Garden,1,100,68,None,City Adult Learning Centre,1 Danforth Avenue,M4K 1M8,None,Toronto-Danforth,14,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3600608, 43.67491945]]}"
38,38,2021,Flemingdon Park Ministry,The Common Table Farm Labyrinth & Pollinator Garden,Spiritual Centre Garden,1,180,149,None,Flemingdon Park Ministry,1 Laurentide Drive,M4R 1A7,None,Don Valley East,16,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.33718465, 43.75164099]]}"
39,39,2021,FoodShare Toronto,Flemo Farm Pollinator Corridor Project,Communal Garden,1,47,44,NIA,FoodShare Flemo Farm,150 Grenoble Drive,M3A 3C6,None,Don Valley East,16,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.32660348, 43.71353072]]}"
40,40,2021,Fr. Henry Carr Environmental Club,Pollinator Garden,School Learning Garden,1,100,1,None,Father Henry Carr Catholic Secondary School,1760 Martin Grove Road,M3C 1E3,None,Etobicoke-North,1,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5923867, 43.73578369]]}"
41,41,2021,Friends of Allan Gardens,The Pollinator Playground at Allan Gardens,City Park,1,15,73,None,Allan Gardens,19 Horticultural Avenue,M9V 3S4,None,Toronto Centre,13,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37480223, 43.661419]]}"
